Name ,Description,Latitude,Longitude,InfoURL,ImageURL
UCSB,A great university located along the California coast!,34.416929,-119.845991,"https://en.wikipedia.org/wiki/Universoty_of_California,_Santa_Barbara",https://web.physics.ucsb.edu/~Women/images/ucsb-big.jpg
Hungry Packer Lake,An awesome lake located in the eastern Sierra Nevadas.,37.158333,-118.644444,https://www.travalour.com/attraction/22043-hungry-packer-lake,https://cdn2.apstatic.com/photos/climb/117692236_medium_1567547046.jpg
Manhattan Beach,My local surf spot!,33.902778,-118.421111,https://beaches.lacounty.gov/manhattan-beach/,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Manhattan_Beach_070.JPG/640px-Manhattan_Beach_070.JPG
Playa Avellana,Pristine beach located in the Guanacaste Province of Costa Rica.,10.238889,-85.842778,https://www.twoweeksincostarica.com/playa-avellanas-guanacaste/,https://upload.wikimedia.org/wikipedia/commons/5/56/Playa_Avellanas_-_panoramio.jpg
Victoria,"The capital of British Columbia, Canada.",48.850556,-125.084722,https://www.tourismvictoria.com/,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/British_Columbia_Parliament_Building_in_Victoria%2C_British_Columbia%2C_Canada_07.jpg/640px-British_Columbia_Parliament_Building_in_Victoria%2C_British_Columbia%2C_Canada_07.jpg
Great Sand Dunes National Park,Sand dunes located in Colorado.,37.784167,-105.506944,https://www.nps.gov/grsa/index.htm,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Great_Sand_Dunes_National_Park_and_Preserve%2C_United_States_%28Unsplash%29.jpg/284px-Great_Sand_Dunes_National_Park_and_Preserve%2C_United_States_%28Unsplash%29.jpg
